,Name,Vertex,Edges,Density,Max. Degree,Avg. Degree,Max. k-core,Avg. Clustering Coeff.,Diameter,Average Path Length,Total Triangles,Avg. Eigenvector Centrality,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,Categories
70,output_CL_72,48,174,0.15425531914893614,17,7.25,5,0.18691219932028755,4,2.1338652482269502,80.0,0.12980570765103122,1712304.0,2641320.0,600952.0,1379070.0,79200.0,179388.0,458084.0,88572.0,21912.0,8360.0,264.0,206303.0,11667.0,9511.0,85783.0,75687.0,9223.0,13889.0,15959.0,15968.0,2729.0,705.0,2931.0,3439.0,2946.0,574.0,121.0,218.0,649.0,337.0,41.0,76.0,6.0,0.0,CL
71,output_CL_73,48,194,0.17198581560283688,15,8.083333333333334,6,0.17500196562696566,4,2.0576241134751774,95.0,0.13298682677601628,1712304.0,2944920.0,753456.0,1581030.0,94050.0,192720.0,563552.0,104676.0,27808.0,10164.0,220.0,267583.0,15766.0,8848.0,102714.0,99753.0,9803.0,18427.0,19364.0,20233.0,3706.0,873.0,3678.0,3881.0,3781.0,710.0,139.0,160.0,712.0,400.0,41.0,44.0,2.0,0.0,CL
72,output_CL_74,48,171,0.15159574468085107,14,7.125,5,0.14747879435379446,4,2.164007092198581,74.0,0.12904639926150208,1712304.0,2595780.0,584100.0,1247400.0,73260.0,139436.0,396660.0,75812.0,17468.0,7964.0,308.0,185181.0,10709.0,5983.0,65762.0,62874.0,6580.0,11920.0,12842.0,11572.0,2195.0,600.0,2650.0,2729.0,2272.0,372.0,87.0,215.0,532.0,252.0,26.0,61.0,4.0,0.0,CL
73,output_CL_75,48,166,0.14716312056737588,14,6.916666666666668,5,0.16414858289858286,5,2.226063829787234,65.0,0.1301959612908746,1712304.0,2519880.0,549076.0,1203840.0,64350.0,133540.0,379500.0,62612.0,16060.0,4664.0,132.0,172874.0,9172.0,5715.0,62558.0,59166.0,5278.0,9730.0,9952.0,10397.0,2027.0,403.0,1414.0,1515.0,1694.0,278.0,32.0,75.0,212.0,118.0,6.0,15.0,1.0,0.0,CL
74,output_CL_76,48,172,0.1524822695035461,16,7.166666666666668,5,0.1888951326451326,4,2.1826241134751774,80.0,0.12900445006847727,1712304.0,2610960.0,590700.0,1268190.0,79200.0,147488.0,412896.0,81752.0,18392.0,7480.0,176.0,188706.0,11662.0,6852.0,71776.0,65921.0,7476.0,12981.0,13829.0,12428.0,2331.0,677.0,2401.0,2636.0,2347.0,355.0,70.0,97.0,438.0,200.0,20.0,20.0,1.0,0.0,CL
75,output_CL_77,48,166,0.14716312056737588,13,6.916666666666668,5,0.16091651404151402,4,2.2101063829787235,74.0,0.1303586521698293,1712304.0,2519880.0,549208.0,1200870.0,73260.0,129844.0,378048.0,70488.0,15664.0,6512.0,220.0,172673.0,10460.0,5151.0,60773.0,58738.0,5481.0,10906.0,11229.0,9924.0,1923.0,491.0,2062.0,1976.0,1760.0,249.0,56.0,132.0,342.0,143.0,10.0,29.0,0.0,0.0,CL
76,output_CL_78,48,194,0.17198581560283688,17,8.083333333333334,6,0.2215910961315373,4,2.0585106382978724,107.0,0.13330772953873007,1712304.0,2944920.0,752972.0,1591920.0,105930.0,201432.0,562672.0,115852.0,26224.0,11440.0,396.0,269105.0,17804.0,10124.0,104520.0,99117.0,11330.0,20026.0,20752.0,19344.0,3580.0,1078.0,4123.0,4345.0,3785.0,641.0,136.0,301.0,839.0,398.0,40.0,86.0,5.0,0.0,CL
77,output_CL_79,48,168,0.14893617021276595,14,7.0,5,0.15408491970991972,6,2.24822695035461,68.0,0.13205659009647533,1712304.0,2550240.0,564740.0,1181070.0,67320.0,121968.0,366784.0,62304.0,14872.0,5192.0,264.0,172846.0,9804.0,4709.0,56781.0,56191.0,4748.0,9485.0,9515.0,9067.0,1835.0,371.0,1515.0,1512.0,1514.0,245.0,37.0,139.0,221.0,118.0,6.0,26.0,1.0,0.0,CL
78,output_CL_8,48,178,0.15780141843971632,15,7.416666666666668,5,0.16331457893957896,4,2.109042553191489,71.0,0.13312163341048674,1712304.0,2702040.0,633864.0,1333530.0,70290.0,153252.0,436920.0,71192.0,18084.0,5280.0,176.0,206550.0,10807.0,6850.0,74805.0,70491.0,6235.0,11427.0,11910.0,12109.0,2410.0,461.0,1712.0,1819.0,1944.0,324.0,43.0,121.0,241.0,133.0,4.0,20.0,0.0,0.0,CL
79,output_CL_80,48,192,0.1702127659574468,16,8.0,5,0.19476773226773225,3,2.0478723404255317,107.0,0.13309152565290047,1712304.0,2914560.0,737704.0,1554300.0,105930.0,193204.0,546788.0,117524.0,24772.0,12364.0,528.0,259952.0,17552.0,9390.0,100897.0,95216.0,11255.0,20304.0,21468.0,18045.0,3455.0,1118.0,4455.0,4609.0,3826.0,546.0,155.0,382.0,940.0,418.0,51.0,116.0,8.0,0.0,CL
